"tag","category","context"
"nav","sectioning","<nav>This is inside the <nav> tag.</nav>"
"canvas","scripting","<canvas>This is inside the <canvas> tag.</canvas>"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"ol","list","<ol>This is inside the <ol> tag.</ol>"
"th","table","<th>This is inside the <th> tag.</th>"
"thead","table","<thead>This is inside the <thead> tag.</thead>"
"colgroup","table","<colgroup>This is inside the <colgroup> tag.</colgroup>"
"col","table","<col>This is inside the <col> tag.</col>"
"base","metadata","<base>This is inside the <base> tag.</base>"
"object","media","<object>This is inside the <object> tag.</object>"
"footer","sectioning","<footer>This is inside the <footer> tag.</footer>"
"iframe","media","<iframe>This is inside the <iframe> tag.</iframe>"
"footer","sectioning","<footer>This is inside the <footer> tag.</footer>"
"th","table","<th>This is inside the <th> tag.</th>"
"form","form","<form enctype=""multipart/form-data"" action=""/submit"">This is inside the <form> tag.</form>"
"nav","sectioning","<nav>This is inside the <nav> tag.</nav>"
"embed","media","<embed>This is inside the <embed> tag.</embed>"
"cite","inline","<cite>This is inside the <cite> tag.</cite>"
"textarea","form","<textarea>This is inside the <textarea> tag.</textarea>"
"script","scripting","<script>This is inside the <script> tag.</script>"
"nav","sectioning","<nav>This is inside the <nav> tag.</nav>"
"pre","text_content","<pre>This is inside the <pre> tag.</pre>"
"option","form","<option>This is inside the <option> tag.</option>"
"h1","text_content","<h1>This is inside the <h1> tag.</h1>"
"span","text_content","<span>This is inside the <span> tag.</span>"
"canvas","scripting","<canvas>This is inside the <canvas> tag.</canvas>"
"textarea","form","<textarea>This is inside the <textarea> tag.</textarea>"
"td","table","<td>This is inside the <td> tag.</td>"
"select","form","<select>This is inside the <select> tag.</select>"
"link","metadata","<link href=""styles.css"">"
"pre","text_content","<pre>This is inside the <pre> tag.</pre>"
"embed","media","<embed>This is inside the <embed> tag.</embed>"
"tbody","table","<tbody>This is inside the <tbody> tag.</tbody>"
"option","form","<option>This is inside the <option> tag.</option>"
"fieldset","form","<fieldset>This is inside the <fieldset> tag.</fieldset>"
"h2","text_content","<h2>This is inside the <h2> tag.</h2>"
"em","inline","<em>This is inside the <em> tag.</em>"
"h6","text_content","<h6>This is inside the <h6> tag.</h6>"
"embed","media","<embed>This is inside the <embed> tag.</embed>"
"article","sectioning","<article>This is inside the <article> tag.</article>"
"canvas","scripting","<canvas>This is inside the <canvas> tag.</canvas>"
"select","form","<select>This is inside the <select> tag.</select>"
"pre","text_content","<pre>This is inside the <pre> tag.</pre>"
"meta","metadata","<meta>"
"form","form","<form>This is inside the <form> tag.</form>"
"base","metadata","<base>This is inside the <base> tag.</base>"
"tbody","table","<tbody>This is inside the <tbody> tag.</tbody>"
